,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,PSNR_score
0,NFLX_mobile,0,0,cont_4.yuv,cont_4.yuv,1920,1080,100.0,60.0
0,NFLX_mobile,1,1,cont_5.yuv,cont_5.yuv,1920,1080,100.0,60.0
0,NFLX_mobile,2,2,cont_6.yuv,cont_6.yuv,1920,1080,100.0,60.0
0,NFLX_mobile,0,3,cont_4.yuv,cont_4_seq_0.yuv,1920,1080,117.88163116,46.28218954279279
0,NFLX_mobile,0,4,cont_4.yuv,cont_4_seq_1.yuv,1920,1080,77.58410662,34.585653248310805
0,NFLX_mobile,0,5,cont_4.yuv,cont_4_seq_2.yuv,1920,1080,67.91195516,42.38820400337838
0,NFLX_mobile,0,6,cont_4.yuv,cont_4_seq_3.yuv,1920,1080,73.90409833,36.28486972297297
0,NFLX_mobile,0,7,cont_4.yuv,cont_4_seq_4.yuv,1920,1080,76.20880293,43.24585392117116
0,NFLX_mobile,0,8,cont_4.yuv,cont_4_seq_5.yuv,1920,1080,77.69179472,31.81979175112613
0,NFLX_mobile,0,9,cont_4.yuv,cont_4_seq_6.yuv,1920,1080,79.06334592,31.63985544256757
0,NFLX_mobile,0,10,cont_4.yuv,cont_4_seq_7.yuv,1920,1080,70.61245429,42.685681303490995
0,NFLX_mobile,1,11,cont_5.yuv,cont_5_seq_0.yuv,1920,1080,116.26050256,43.56535657013575
0,NFLX_mobile,1,12,cont_5.yuv,cont_5_seq_1.yuv,1920,1080,94.88609898,33.844666563914025
0,NFLX_mobile,1,13,cont_5.yuv,cont_5_seq_2.yuv,1920,1080,76.51846811,41.17951424660633
0,NFLX_mobile,1,14,cont_5.yuv,cont_5_seq_3.yuv,1920,1080,84.56423849,34.71157145701357
0,NFLX_mobile,1,15,cont_5.yuv,cont_5_seq_4.yuv,1920,1080,83.12164798,41.68238536877828
0,NFLX_mobile,1,16,cont_5.yuv,cont_5_seq_5.yuv,1920,1080,88.17974099,31.745459920248866
0,NFLX_mobile,1,17,cont_5.yuv,cont_5_seq_6.yuv,1920,1080,89.50126953,30.1940183908371
0,NFLX_mobile,1,18,cont_5.yuv,cont_5_seq_7.yuv,1920,1080,83.23762229,41.47513926244344
0,NFLX_mobile,2,19,cont_6.yuv,cont_6_seq_0.yuv,1920,1080,121.33408353,45.68712382150901
0,NFLX_mobile,2,20,cont_6.yuv,cont_6_seq_1.yuv,1920,1080,88.0420575,34.69667749718468
0,NFLX_mobile,2,21,cont_6.yuv,cont_6_seq_2.yuv,1920,1080,79.38867645,42.48662049718469
0,NFLX_mobile,2,22,cont_6.yuv,cont_6_seq_3.yuv,1920,1080,84.27898804,35.60058611092342
0,NFLX_mobile,2,23,cont_6.yuv,cont_6_seq_4.yuv,1920,1080,83.86165956,43.10128146903153
0,NFLX_mobile,2,24,cont_6.yuv,cont_6_seq_5.yuv,1920,1080,82.70964603,32.55415541272522
0,NFLX_mobile,2,25,cont_6.yuv,cont_6_seq_6.yuv,1920,1080,92.52067508,32.42636415484235
0,NFLX_mobile,2,26,cont_6.yuv,cont_6_seq_7.yuv,1920,1080,81.69860368,42.87732133277028
