,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,VMAF_feature_adm2_score,VMAF_feature_motion2_score,VMAF_feature_vif_scale0_score,VMAF_feature_vif_scale1_score,VMAF_feature_vif_scale2_score,VMAF_feature_vif_scale3_score,VMAF_score
0,LIVE,0,0,MeridianConversation.yuv,MeridianConversation.yuv,1920,1080,100.0,0.9588174279044692,0.71054063125,0.9999930489411671,0.9999948281896668,0.9999941379828037,0.9999941328242485,89.45866080169066
0,LIVE,1,1,MeridianDriving.yuv,MeridianDriving.yuv,1920,1080,100.0,0.9565755444336468,2.4518071609375,0.9999994264552402,0.9999972212071215,0.9999962611864902,0.9999961927061811,91.31823817980839
0,LIVE,2,2,Skateboarding.yuv,Skateboarding.yuv,1920,1080,100.0,0.961832731254108,9.38464674375,0.9999946323768052,0.9999911703871114,0.9999897963220098,0.9999900180696905,98.55964224058629
0,LIVE,3,3,Soccer.yuv,Soccer.yuv,1920,1080,100.0,0.9527568245390338,10.8650972368,0.9999985455044414,0.9999969543255683,0.9999966050924026,0.9999968832304629,96.71915413963792
0,LIVE,4,4,Sparks.yuv,Sparks.yuv,1920,1080,100.0,0.9561316857050681,2.6986518734375,0.9999978657351875,0.9999976290682946,0.9999972252576603,0.9999972456493873,91.5462570080717
0,LIVE,5,5,TearsOfSteelStatic.yuv,TearsOfSteelStatic.yuv,1920,1080,100.0,0.9557596117733195,2.842280915492958,0.9999992603731802,0.999998132968124,0.9999972421840568,0.9999973732466375,91.64034020371255
0,LIVE,6,6,TearsOfSteelRobot.yuv,TearsOfSteelRobot.yuv,1920,1080,100.0,0.9559292507633959,10.01673760625,0.9999990726150958,0.9999981443639221,0.9999976428230599,0.9999977959829455,95.96673606857394
0,LIVE,0,7,MeridianConversation.yuv,MeridianConversation_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,71.20594786,0.929186045463692,0.71054063125,0.5749073078914051,0.9213689445474668,0.9542715148859159,0.9692626291754074,78.90211423349209
0,LIVE,0,8,MeridianConversation.yuv,MeridianConversation_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,77.33257646,0.9363650004315266,0.71054063125,0.6001989226575132,0.9435998777734872,0.9696339970387733,0.9805826369136016,81.86352848044253
0,LIVE,0,9,MeridianConversation.yuv,MeridianConversation_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,80.02137423,0.9380594906517464,0.71054063125,0.6028720300662294,0.948659952270648,0.973490276761838,0.9835228413294427,82.58242356764752
0,LIVE,0,10,MeridianConversation.yuv,MeridianConversation_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.9271815,0.9373364933798627,0.71054063125,0.6017528487890098,0.9454842694581433,0.9713542756393843,0.9820948631490378,82.23221986042813
0,LIVE,1,11,MeridianDriving.yuv,MeridianDriving_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,64.80535644,0.8820242973786929,2.4518071609375,0.4610624946079492,0.7425930852115722,0.8199678211783759,0.8721967974956367,64.2560528324281
0,LIVE,1,12,MeridianDriving.yuv,MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.54420571,0.9027541391441384,2.4518071609375,0.4879880033289073,0.7951633233372475,0.8710645636373584,0.9158030707766358,70.54286205353978
0,LIVE,1,13,MeridianDriving.yuv,MeridianDriving_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.77750425,0.9053958866831738,2.4518071609375,0.4904574744934873,0.805800585565087,0.8816232799360337,0.9242337241328664,71.51898481727243
0,LIVE,1,14,MeridianDriving.yuv,MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.2465279,0.90404557128007,2.4518071609375,0.4947282579213951,0.8005434472905613,0.8744608528237687,0.9180126263968191,71.13072043074874
0,LIVE,2,15,Skateboarding.yuv,Skateboarding_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,51.06704602,0.8270401123184972,9.38464674375,0.43918824570395276,0.6970209289931788,0.7874601319593768,0.842895871752909,55.89441420324722
0,LIVE,2,16,Skateboarding.yuv,Skateboarding_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.83564129,0.8740286610704503,9.38464674375,0.49163649559585904,0.7715389098684673,0.8551816370455103,0.9022576199230796,69.8426936663618
0,LIVE,2,17,Skateboarding.yuv,Skateboarding_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.26753674,0.8773167216736493,9.38464674375,0.4959111061725953,0.782842603904651,0.8656274325885992,0.910994669017357,70.98033298164873
0,LIVE,2,18,Skateboarding.yuv,Skateboarding_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60814239,0.8735487148245891,9.38464674375,0.496761333268788,0.7788373160685399,0.8603090160908374,0.9057049195083049,70.10232498086091
0,LIVE,3,19,Soccer.yuv,Soccer_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,56.27065646,0.7969059963991273,10.8650972368,0.3302375452364198,0.6154220424038427,0.721207891400832,0.7943278131961643,48.93067295299491
0,LIVE,3,20,Soccer.yuv,Soccer_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60716474,0.8337915666061031,10.8650972368,0.367954515926569,0.6805183243197129,0.7833883752386969,0.8485467090038462,58.076132188064655
0,LIVE,3,21,Soccer.yuv,Soccer_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,57.67124787,0.8336083384608033,10.8650972368,0.36067661188785144,0.6736071377118213,0.7783267031920844,0.845247436527539,57.42123565727521
0,LIVE,3,22,Soccer.yuv,Soccer_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,54.56480162,0.8309131003548533,10.8650972368,0.36409160050484896,0.6728610814557618,0.7767862991912728,0.8433932044750513,57.17899834507199
0,LIVE,4,23,Sparks.yuv,Sparks_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.58734211,0.8532773089569664,2.6986518734375,0.5000052145929802,0.7428568888731393,0.8143154967856843,0.8639525202869975,55.17651417329989
0,LIVE,4,24,Sparks.yuv,Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,64.64713045,0.8899099459174614,2.6986518734375,0.5782990306551044,0.8264430624667229,0.8823999896017598,0.9169318839674375,67.40298729995547
0,LIVE,4,25,Sparks.yuv,Sparks_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.99035516,0.886282146410387,2.6986518734375,0.5833873490697957,0.8258025519750408,0.8809573671024664,0.9160152548391182,67.00742427470982
0,LIVE,4,26,Sparks.yuv,Sparks_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,66.69877301,0.8879919961848117,2.6986518734375,0.5706344052204031,0.8225149420435226,0.8798032807168916,0.9151956703422656,66.7606651821446
