,dataset,content_id,asset_id,ref_name,dis_name,width,height,DMOS,VMAF_feature_adm2_score,VMAF_feature_motion_score,VMAF_feature_vif_scale0_score,VMAF_feature_vif_scale1_score,VMAF_feature_vif_scale2_score,VMAF_feature_vif_scale3_score,VMAF_score
0,LIVE,0,0,MeridianConversation.yuv,MeridianConversation.yuv,1920,1080,100,0.925355657,0.969042484,0.999990559,0.999993112,0.999993792,0.999994142,99.20082255
0,LIVE,1,1,MeridianDriving.yuv,MeridianDriving.yuv,1920,1080,100,0.919170597,2.559006067,0.999998427,0.999996293,0.999996115,0.999996229,98.30780236
0,LIVE,2,2,Skateboarding.yuv,Skateboarding.yuv,1920,1080,100,0.932743544,10.09043579,0.999991209,0.999989485,0.999989584,0.99999002,99.89809276
0,LIVE,3,3,Soccer.yuv,Soccer.yuv,1920,1080,100,0.908376783,11.35193707,0.99999737,0.999996297,0.99999648,0.999996839,98.03270834
0,LIVE,4,4,Sparks.yuv,Sparks.yuv,1920,1080,100,0.918054708,3.061453447,0.999996176,0.999996693,0.99999689,0.99999726,98.616964
0,LIVE,5,5,TearsOfSteelStatic.yuv,TearsOfSteelStatic.yuv,1920,1080,100,0.917184562,3.075755172,0.999997484,0.999996935,0.999996995,0.999997441,98.68014908
0,LIVE,6,6,TearsOfSteelRobot.yuv,TearsOfSteelRobot.yuv,1920,1080,100,0.917388326,11.19873948,0.99999754,0.999997384,0.999997446,0.999997816,98.68999775
0,LIVE,0,7,MeridianConversation.yuv,MeridianConversation_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,71.20594786,0.903365771,0.969042484,0.538620139,0.907885712,0.945353184,0.963019844,94.01119474
0,LIVE,0,8,MeridianConversation.yuv,MeridianConversation_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,77.33257646,0.908676149,0.969042484,0.563382793,0.932773309,0.963153602,0.976318751,96.30349497
0,LIVE,0,9,MeridianConversation.yuv,MeridianConversation_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,80.02137423,0.90993805,0.969042484,0.565891821,0.938241086,0.967488808,0.979695353,96.88750686
0,LIVE,0,10,MeridianConversation.yuv,MeridianConversation_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.9271815,0.909387247,0.969042484,0.564814665,0.934619559,0.964985586,0.977997004,96.55092494
0,LIVE,1,11,MeridianDriving.yuv,MeridianDriving_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,64.80535644,0.863197309,2.559006067,0.425125854,0.718972474,0.799880717,0.855693501,78.47793991
0,LIVE,1,12,MeridianDriving.yuv,MeridianDriving_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,70.54420571,0.878601939,2.559006067,0.448840171,0.769998606,0.852010671,0.901800411,83.67704747
0,LIVE,1,13,MeridianDriving.yuv,MeridianDriving_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.77750425,0.880491536,2.559006067,0.450389179,0.779718922,0.862577868,0.910689022,84.47237517
0,LIVE,1,14,MeridianDriving.yuv,MeridianDriving_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.2465279,0.879617287,2.559006067,0.455618057,0.776208961,0.856104174,0.904525661,84.1707087
0,LIVE,2,15,Skateboarding.yuv,Skateboarding_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,51.06704602,0.832704657,10.09043579,0.410570578,0.670768929,0.763835067,0.822508682,71.68710597
0,LIVE,2,16,Skateboarding.yuv,Skateboarding_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.83564129,0.867892533,10.09043579,0.459705541,0.746663307,0.83521995,0.886663536,82.39462727
0,LIVE,2,17,Skateboarding.yuv,Skateboarding_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.26753674,0.87044588,10.09043579,0.463236609,0.757437006,0.845660622,0.895745429,83.39419249
0,LIVE,2,18,Skateboarding.yuv,Skateboarding_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60814239,0.867623415,10.09043579,0.464286723,0.753992827,0.84061172,0.890385777,82.65698056
0,LIVE,3,19,Soccer.yuv,Soccer_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,56.27065646,0.782494189,11.35193707,0.296147958,0.576900854,0.684252914,0.762424033,58.74871792
0,LIVE,3,20,Soccer.yuv,Soccer_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.60716474,0.812236776,11.35193707,0.330319277,0.640859684,0.747979087,0.819855802,67.03479834
0,LIVE,3,21,Soccer.yuv,Soccer_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,57.67124787,0.812013302,11.35193707,0.323094222,0.633321735,0.7420205,0.815741382,66.61376639
0,LIVE,3,22,Soccer.yuv,Soccer_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,54.56480162,0.809816977,11.35193707,0.326747946,0.633015546,0.740816386,0.814002265,66.24204708
0,LIVE,4,23,Sparks.yuv,Sparks_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.58734211,0.837638469,3.061453447,0.461288573,0.711800686,0.787561747,0.842135845,71.27052817
0,LIVE,4,24,Sparks.yuv,Sparks_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,64.64713045,0.866428276,3.061453447,0.538130286,0.800926526,0.862519459,0.901930598,81.41280087
0,LIVE,4,25,Sparks.yuv,Sparks_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,65.99035516,0.86383183,3.061453447,0.543950362,0.801356662,0.861779523,0.901505259,80.88785937
0,LIVE,4,26,Sparks.yuv,Sparks_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,66.69877301,0.864945563,3.061453447,0.530286506,0.796391368,0.859414305,0.899788566,80.91006504
0,LIVE,6,27,TearsOfSteelRobot.yuv,TearsOfSteelRobot_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,50.65387293,0.82429926,11.19873948,0.373557566,0.649181039,0.735382431,0.795632764,69.5163118
0,LIVE,6,28,TearsOfSteelRobot.yuv,TearsOfSteelRobot_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,60.03525298,0.8496402,11.19873948,0.426337998,0.729079159,0.816641823,0.873581564,77.79508039
0,LIVE,6,29,TearsOfSteelRobot.yuv,TearsOfSteelRobot_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,68.79083488,0.849057018,11.19873948,0.424310802,0.724924991,0.812702669,0.869679427,77.56887839
0,LIVE,6,30,TearsOfSteelRobot.yuv,TearsOfSteelRobot_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,58.99545326,0.847984467,11.19873948,0.42142681,0.720743886,0.809126037,0.86720151,77.06626318
0,LIVE,5,31,TearsOfSteelStatic.yuv,TearsOfSteelStatic_HuangBufferBasedAdaptor_Trace_5.yuv,1920,1080,65.07991342,0.865574916,3.075755172,0.460083713,0.786086889,0.861168744,0.906097316,81.1375213
0,LIVE,5,32,TearsOfSteelStatic.yuv,TearsOfSteelStatic_OracleVMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,68.70405091,0.886494968,3.075755172,0.543864009,0.870916207,0.924438927,0.952543354,89.39303755
0,LIVE,5,33,TearsOfSteelStatic.yuv,TearsOfSteelStatic_SimpleThroughputBasedAdaptor_Trace_5.yuv,1920,1080,69.33157037,0.881333659,3.075755172,0.50650307,0.838937894,0.903783902,0.938900959,86.90492654
0,LIVE,5,34,TearsOfSteelStatic.yuv,TearsOfSteelStatic_VMAFViterbiQualityBasedAdaptor_Trace_5.yuv,1920,1080,69.19903054,0.884747563,3.075755172,0.530114708,0.859425646,0.915836215,0.945637611,88.52222763
